CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Depth,Keep or Not Keep,Category,Flag,NEW_CHARACTERISTIC_NAME
304,  Median total income in 2020 ($),2,Keep,summary,Summary,Median total income in 2020 ($)
305,  Median after-tax income in 2020 ($),2,Keep,summary,Summary,Median after-tax income in 2020 ($)
306,Total - Income statistics for economic families in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics for economic families in private households - 25% sample data
307,  Average total income of economic family in 2020 ($),2,Keep,remove,Category,Average total income of economic family in 2020 ($)
308,  Average after-tax income of economic family in 2020 ($),2,Keep,remove,Category,Average after-tax income of economic family in 2020 ($)
309,Total - Income statistics for couple-only economic families in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics for couple-only economic families in private households - 25% sample data
310,  Average total income of couple-only economic families in 2020 ($),2,Keep,remove,Category,Average total income of couple-only economic families in 2020 ($)
311,  Average after-tax income of couple-only economic families in 2020 ($),2,Keep,remove,Category,Average after-tax income of couple-only economic families in 2020 ($)
312,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics for couple-with-children economic families in private households - 25% sample data
313,  Average total income of couple-with-children economic families in 2020 ($),2,Keep,remove,Category,Average total income of couple-with-children economic families in 2020 ($)
314,  Average after-tax income of couple-with-children economic families in 2020 ($),2,Keep,remove,Category,Average after-tax income of couple-with-children economic families in 2020 ($)
315,Total - Income statistics for one-parent economic families in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics for one-parent economic families in private households - 25% sample data
316,  Average total income of one-parent economic families in 2020 ($),2,Keep,remove,Category,Average total income of one-parent economic families in 2020 ($)
317,  Average after-tax income of one-parent economic families in 2020 ($),2,Keep,remove,Category,Average after-tax income of one-parent economic families in 2020 ($)
318,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data
319,  Average total income in 2020 ($),2,Keep,remove,Category,Average total income in 2020 ($)
320,  Average after-tax income in 2020 ($),2,Keep,remove,Category,Average after-tax income in 2020 ($)
321,Total - LIM low-income status in 2020 for the population in private households - 100% data,0,Keep,lim_low-income_status_in_2020_for_the_population_in_private_households,Total,Total - LIM low-income status in 2020 for the population in private households - 100% data
322,  0 to 17 years,2,Keep,lim_low-income_status_in_2020_for_the_population_in_private_households,Category,0 to 17 years
323,    0 to 5 years,4,No Keep,lim_low-income_status_in_2020_for_the_population_in_private_households,Category,0 to 5 years
324,  18 to 64 years,2,Keep,lim_low-income_status_in_2020_for_the_population_in_private_households,Category,18 to 64 years
325,  65 years and over,2,Keep,lim_low-income_status_in_2020_for_the_population_in_private_households,Category,65 years and over
326,"In low income based on the Low-income measure, after tax (LIM-AT)",0,Keep,in_low_income_based_on_the_low-income_measure_after_tax,Total,"In low income based on the Low-income measure, after tax (LIM-AT)"
327,  0 to 17 years,2,Keep,in_low_income_based_on_the_low-income_measure_after_tax,Category,0 to 17 years
328,    0 to 5 years,4,No Keep,in_low_income_based_on_the_low-income_measure_after_tax,Category,0 to 5 years
329,  18 to 64 years,2,Keep,in_low_income_based_on_the_low-income_measure_after_tax,Category,18 to 64 years
330,  65 years and over,2,Keep,in_low_income_based_on_the_low-income_measure_after_tax,Category,65 years and over
331,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0,Keep,summary,Summary,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)"
332,  0 to 17 years (%),2,No Keep,summary,Summary,"0 to 17 years (%) Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)"
333,    0 to 5 years (%),4,Keep,summary,Summary,"0 to 5 years (%) - Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)"
334,  18 to 64 years (%),2,Keep,summary,Summary,"18 to 64 years (%) - Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)"
335,  65 years and over (%),2,Keep,summary,Summary,"65 years and over (%) - Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)"
336,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,0,Keep,lico_low-income_status_in_2020_for_the_population_in_private_households_to_whom_the_low-income_concept_is_applicable,Total,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data
337,  0 to 17 years,2,Keep,lico_low-income_status_in_2020_for_the_population_in_private_households_to_whom_the_low-income_concept_is_applicable,Category,0 to 17 years
338,    0 to 5 years,4,No Keep,lico_low-income_status_in_2020_for_the_population_in_private_households_to_whom_the_low-income_concept_is_applicable,Category,0 to 5 years
339,  18 to 64 years,2,Keep,lico_low-income_status_in_2020_for_the_population_in_private_households_to_whom_the_low-income_concept_is_applicable,Category,18 to 64 years
340,  65 years and over,2,Keep,lico_low-income_status_in_2020_for_the_population_in_private_households_to_whom_the_low-income_concept_is_applicable,Category,65 years and over
341,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",0,Keep,in_low_income_based_on_the_low-income_cut-offs_after_tax,Total,"In low income based on the Low-income cut-offs, after tax (LICO-AT)"
342,  0 to 17 years,2,Keep,in_low_income_based_on_the_low-income_cut-offs_after_tax,Category,0 to 17 years
343,    0 to 5 years,4,No Keep,in_low_income_based_on_the_low-income_cut-offs_after_tax,Category,0 to 5 years
344,  18 to 64 years,2,Keep,in_low_income_based_on_the_low-income_cut-offs_after_tax,Category,18 to 64 years
345,  65 years and over,2,Keep,in_low_income_based_on_the_low-income_cut-offs_after_tax,Category,65 years and over
346,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",0,Keep,summary,Summary,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
347,  0 to 17 years (%),2,No Keep,summary,Summary,"0 to 17 years (%) - Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
348,    0 to 5 years (%),4,Keep,summary,Summary,"0 to 5 years (%) - Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
349,  18 to 64 years (%),2,Keep,summary,Summary,"18 to 64 years (%) - Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
350,  65 years and over (%),2,Keep,summary,Summary,"65 years and over (%) - Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
351,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,0,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Total,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data
352,  In bottom half of the distribution,2,No Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In bottom half of the distribution
353,    In bottom decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In bottom decile
354,    In second decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In second decile
355,    In third decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In third decile
356,    In fourth decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In fourth decile
357,    In fifth decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In fifth decile
358,  In top half of the distribution,2,No Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In top half of the distribution
359,    In sixth decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In sixth decile
360,    In seventh decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In seventh decile
361,    In eighth decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In eighth decile
362,    In ninth decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In ninth decile
363,    In top decile,4,Keep,adjusted_after-tax_economic_family_income_decile_group_for_the_population_in_private_households,Category,In top decile
364,Total - Inequality measures for the population in private households - 100% data,0,Keep,summary,Summary,Total - Inequality measures for the population in private households - 100% data
365,  Gini index on adjusted household total income,2,Keep,summary,Summary,Gini index on adjusted household total income
366,  Gini index on adjusted household market income,2,Keep,summary,Summary,Gini index on adjusted household market income
367,  Gini index on adjusted household after-tax income,2,Keep,summary,Summary,Gini index on adjusted household after-tax income
368,  P90/P10 ratio on adjusted household after-tax income,2,Keep,summary,Summary,P90/P10 ratio on adjusted household after-tax income
369,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,0,Keep,knowledge_of_official_languages_for_the_total_population_excluding_institutional_residents,Total,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data
370,  English only,2,Keep,knowledge_of_official_languages_for_the_total_population_excluding_institutional_residents,Category,English only
371,  French only,2,Keep,knowledge_of_official_languages_for_the_total_population_excluding_institutional_residents,Category,French only
372,  English and French,2,Keep,knowledge_of_official_languages_for_the_total_population_excluding_institutional_residents,Category,English and French
373,  Neither English nor French,2,Keep,knowledge_of_official_languages_for_the_total_population_excluding_institutional_residents,Category,Neither English nor French
374,Total - First official language spoken for the total population excluding institutional residents - 100% data,0,Keep,first_official_language_spoken_for_the_total_population_excluding_institutional_residents,Total,Total - First official language spoken for the total population excluding institutional residents - 100% data
375,  English,2,Keep,first_official_language_spoken_for_the_total_population_excluding_institutional_residents,Category,English
376,  French,2,Keep,first_official_language_spoken_for_the_total_population_excluding_institutional_residents,Category,French
377,  English and French,2,Keep,first_official_language_spoken_for_the_total_population_excluding_institutional_residents,Category,English and French
378,  Neither English nor French,2,Keep,first_official_language_spoken_for_the_total_population_excluding_institutional_residents,Category,Neither English nor French
379,Total - Mother tongue for the total population excluding institutional residents - 100% data,0,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Total,Total - Mother tongue for the total population excluding institutional residents - 100% data
380,  Single responses,2,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Single responses
381,    Official languages,4,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Official languages
382,      English,6,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,English
383,      French,6,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,French
384,    Non-official languages,4,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Non-official languages
385,      Indigenous languages,6,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Indigenous languages
386,        Algonquian languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Algonquian languages
387,          Blackfoot,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Blackfoot
388,          Cree-Innu languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Cree-Innu languages
389,            Atikamekw,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Atikamekw
390,            Cree languages,12,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Cree languages
391,              Ililimowin (Moose Cree),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Ililimowin (Moose Cree)
392,              Inu Ayimun (Southern East Cree),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Inu Ayimun (Southern East Cree)
393,              Iyiyiw-Ayimiwin (Northern East Cree),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Iyiyiw-Ayimiwin (Northern East Cree)
394,              Nehinawewin (Swampy Cree),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Nehinawewin (Swampy Cree)
395,              Nehiyawewin (Plains Cree),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Nehiyawewin (Plains Cree)
396,              Nihithawiwin (Woods Cree),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Nihithawiwin (Woods Cree)
397,"              Cree, n.o.s.",14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Cree, n.o.s."
398,            Innu (Montagnais),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Innu (Montagnais)
399,            Naskapi,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Naskapi
400,          Eastern Algonquian languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Eastern Algonquian languages
401,            Mi'kmaq,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Mi'kmaq
402,            Wolastoqewi (Malecite),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Wolastoqewi (Malecite)
403,          Ojibway-Potawatomi languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Ojibway-Potawatomi languages
404,            Anicinabemowin (Algonquin),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Anicinabemowin (Algonquin)
405,            Oji-Cree,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Oji-Cree
406,            Ojibway languages,12,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Ojibway languages
407,              Anishinaabemowin (Chippewa),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Anishinaabemowin (Chippewa)
408,              Daawaamwin (Odawa),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Daawaamwin (Odawa)
409,              Saulteau (Western Ojibway),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Saulteau (Western Ojibway)
410,"              Ojibway, n.o.s.",14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Ojibway, n.o.s."
411,"          Algonquian languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Algonquian languages, n.i.e."
412,        Athabaskan languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Athabaskan languages
413,          Northern Athabaskan languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Northern Athabaskan languages
414,            Dakelh (Carrier),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Dakelh (Carrier)
415,            Dane-zaa (Beaver),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Dane-zaa (Beaver)
416,"            Dene, n.o.s.",12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Dene, n.o.s."
417,            Gwich'in,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Gwich'in
418,            Slavey-Hare languages,12,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Slavey-Hare languages
419,              Deh Gah Ghotie Zhatie (South Slavey),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Deh Gah Ghotie Zhatie (South Slavey)
420,              Satuotine Yati (North Slavey),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Satuotine Yati (North Slavey)
421,"              Slavey, n.o.s.",14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Slavey, n.o.s."
422,            Tahltan languages,12,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tahltan languages
423,              Kaska (Nahani),14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Kaska (Nahani)
424,              Tahltan,14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tahltan
425,            Tlicho (Dogrib),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tlicho (Dogrib)
426,            Tse'khene (Sekani),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tse'khene (Sekani)
427,            Tsilhqot'in (Chilcotin),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tsilhqot'in (Chilcotin)
428,            Tsuu T'ina (Sarsi),12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tsuu T'ina (Sarsi)
429,            Tutchone languages,12,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tutchone languages
430,              Northern Tutchone,14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Northern Tutchone
431,              Southern Tutchone,14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Southern Tutchone
432,"              Tutchone, n.o.s.",14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Tutchone, n.o.s."
433,            Wetsuwet'en-Babine,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Wetsuwet'en-Babine
434,          Tlingit,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tlingit
435,"          Athabaskan languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Athabaskan languages, n.i.e."
436,        Haida,8,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Haida
437,        Inuktut (Inuit) languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Inuktut (Inuit) languages
438,          Inuinnaqtun (Inuvialuktun),10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Inuinnaqtun (Inuvialuktun)
439,            Inuinnaqtun,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Inuinnaqtun
440,            Inuvialuktun,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Inuvialuktun
441,          Inuktitut,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Inuktitut
442,"          Inuktut (Inuit) languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Inuktut (Inuit) languages, n.i.e."
443,        Iroquoian languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Iroquoian languages
444,          Cayuga,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Cayuga
445,          Mohawk,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Mohawk
446,          Oneida,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Oneida
447,"          Iroquoian languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Iroquoian languages, n.i.e."
448,        Ktunaxa (Kutenai),8,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Ktunaxa (Kutenai)
449,        Michif,8,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Michif
450,        Salish languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Salish languages
451,          Halkomelem,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Halkomelem
452,          Lillooet,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Lillooet
453,          Ntlakapamux (Thompson),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Ntlakapamux (Thompson)
454,          Secwepemctsin (Shuswap),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Secwepemctsin (Shuswap)
455,          Squamish,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Squamish
456,          Straits,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Straits
457,          Syilx (Okanagan),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Syilx (Okanagan)
458,"          Salish languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Salish languages, n.i.e."
459,        Siouan languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Siouan languages
460,          Assiniboine,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Assiniboine
461,          Dakota,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Dakota
462,          Stoney,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Stoney
463,"          Siouan languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Siouan languages, n.i.e."
464,        Tsimshian languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tsimshian languages
465,          Gitxsan (Gitksan),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Gitxsan (Gitksan)
466,          Nisga'a,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Nisga'a
467,          Tsimshian,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tsimshian
468,        Wakashan languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Wakashan languages
469,          Haisla,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Haisla
470,          Heiltsuk,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Heiltsuk
471,          Kwak'wala (Kwakiutl),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Kwak'wala (Kwakiutl)
472,          Nuu-chah-nulth (Nootka),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Nuu-chah-nulth (Nootka)
473,"          Wakashan languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Wakashan languages, n.i.e."
474,"        Indigenous languages, n.i.e.",8,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Indigenous languages, n.i.e."
475,"        Indigenous languages, n.o.s.",8,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Indigenous languages, n.o.s."
476,      Non-Indigenous languages,6,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Non-Indigenous languages
477,        Afro-Asiatic languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Afro-Asiatic languages
478,          Berber languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Berber languages
479,            Kabyle,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Kabyle
480,            Tamazight,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tamazight
481,"            Berber languages, n.i.e.",12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Berber languages, n.i.e."
482,          Chadic languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Chadic languages
483,            Hausa,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Hausa
484,            Mina,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Mina
485,          Coptic,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Coptic
486,          Cushitic languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Cushitic languages
487,            Bilen,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Bilen
488,            Oromo,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Oromo
489,            Somali,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Somali
490,"            Cushitic languages, n.i.e.",12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Cushitic languages, n.i.e."
491,          Semitic languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Semitic languages
492,            Amharic,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Amharic
493,            Arabic,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Arabic
494,            Aramaic languages,12,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Aramaic languages
495,              Assyrian Neo-Aramaic,14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Assyrian Neo-Aramaic
496,              Chaldean Neo-Aramaic,14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Chaldean Neo-Aramaic
497,"              Aramaic, n.o.s.",14,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Aramaic, n.o.s."
498,            Harari,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Harari
499,            Hebrew,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Hebrew
500,            Maltese,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Maltese
501,            Tigrigna,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Tigrigna
502,"            Semitic languages, n.i.e.",12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Semitic languages, n.i.e."
503,        Austro-Asiatic languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Austro-Asiatic languages
504,          Khmer (Cambodian),10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Khmer (Cambodian)
505,          Vietnamese,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Vietnamese
506,"          Austro-Asiatic languages, n.i.e",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Austro-Asiatic languages, n.i.e"
507,        Austronesian languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Austronesian languages
508,          Bikol,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Bikol
509,"          Bisaya, n.o.s.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Bisaya, n.o.s."
510,          Cebuano,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Cebuano
511,          Fijian,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Fijian
512,          Hiligaynon,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Hiligaynon
513,          Ilocano,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Ilocano
514,          Indonesian,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Indonesian
515,          Kankanaey,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Kankanaey
516,          Kinaray-a,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Kinaray-a
517,          Malagasy languages,10,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Malagasy languages
518,            Merina,12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Merina
519,"            Malagasy, n.o.s.",12,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Malagasy, n.o.s."
520,          Malay,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Malay
521,"          Pampangan (Kapampangan, Pampango)",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Pampangan (Kapampangan, Pampango)"
522,          Pangasinan,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Pangasinan
523,"          Tagalog (Pilipino, Filipino)",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Tagalog (Pilipino, Filipino)"
524,          Waray-Waray,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Waray-Waray
525,"          Austronesian languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Austronesian languages, n.i.e."
526,        Creole languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Creole languages
527,          Haitian Creole,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Haitian Creole
528,          Jamaican English Creole,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Jamaican English Creole
529,          Krio,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Krio
530,          Morisyen,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Morisyen
531,          Sango,10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Sango
532,"          Creole, n.o.s.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Creole, n.o.s."
533,"          Creole languages, n.i.e.",10,Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,"Creole languages, n.i.e."
534,        Dravidian languages,8,No Keep,mother_tongue_for_the_total_population_excluding_institutional_residents,Category,Dravidian languages
